ID,Titre,Prix,Année,Ville,Carburant,Lien
453888,MINI  Cooper,172 000 Dhs,,2017,Casablanca,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/453888/mini-cooper-.html
456244,NISSAN  Qashqai,185 000 Dhs,,2015,Casablanca,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/456244/nissan-qashqai-.html
456245,BMW  Serie 3 Lounge,330 000 Dhs,,2020,Casablanca,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/456245/bmw-serie-3-lounge.html
465827,LEXUS  Autre,450 000 Dhs,,2023,Casablanca,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/465827/lexus-autre-.html
466638,BMW  Serie 6,470 000 Dhs,,2021,Casablanca,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/466638/bmw-serie-6-.html
435903,FIAT  500,Appeler pour le prix,,2022,Casablanca,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/435903/fiat-500-.html
435175,RENAULT  Clio,Appeler pour le prix,,2021,Casablanca,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/435175/renault-clio-.html
421435,JAGUAR  Type x,78 000 Dhs,2009,Rabat,Essence,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/421435/jaguar-type-x-.html
457738,LEXUS  Lx,Appeler pour le prix,,2000,Marrakech,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/457738/lexus-lx-.html
466480,LAND-ROVER  Range rover sport,Appeler pour le prix,,2021,Marrakech,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/466480/land-rover-range-rover-sport-.html
461878,VOLKSWAGEN  Passat,Appeler pour le prix,,2022,Marrakech,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/461878/volkswagen-passat-.html
459678,SUZUKI  Jimny,Appeler pour le prix,,2022,Marrakech,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/459678/suzuki-jimny-.html
459752,JEEP  Wrangler,Appeler pour le prix,,2021,Marrakech,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/459752/jeep-wrangler-.html
434520,LAND-ROVER  Range rover velar,Appeler pour le prix,,2018,Casablanca,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/434520/land-rover-range-rover-velar-.html
433768,LAND-ROVER  Range rover sport,Appeler pour le prix,,2021,Casablanca,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/433768/land-rover-range-rover-sport-.html
433769,LAND-ROVER  Range rover sport,Appeler pour le prix,,2019,Casablanca,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/433769/land-rover-range-rover-sport-.html
467581,MERCEDES-BENZ  Classe glc,Appeler pour le prix,,2022,Casablanca,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/467581/mercedes-benz-classe-glc-.html
426718,AUDI  Q8,Appeler pour le prix,,2021,Casablanca,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/426718/audi-q8-.html
465717,FIAT  Fiorino,Appeler pour le prix,,2021,Casablanca,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/465717/fiat-fiorino-.html
421225,VOLKSWAGEN  Golf 7,Appeler pour le prix,,2018,Casablanca,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/421225/volkswagen-golf-7-.html
421228,VOLKSWAGEN  Golf 8,Appeler pour le prix,,2021,Casablanca,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/421228/volkswagen-golf-8-.html
467321,MERCEDES-BENZ  Classe cla,Appeler pour le prix,,2020,Casablanca,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/467321/mercedes-benz-classe-cla-.html
466377,AUDI  Q3,Appeler pour le prix,,2022,Casablanca,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/466377/audi-q3-.html
458522,JAGUAR  Xf,230 000 Dhs,2016,Casablanca,Diesel,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/458522/jaguar-xf-.html
466732,RENAULT  Captur,227 000 Dhs,2023,Casablanca,Diesel,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/466732/renault-captur-.html
463408,AUDI  Q8,700 000 Dhs,2021,Casablanca,Diesel,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/463408/audi-q8-.html
464968,DACIA  Duster,165 000 Dhs,2019,Casablanca,Diesel,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/464968/dacia-duster-.html
465258,AUDI  Q5,275 000 Dhs,2016,Casablanca,Diesel,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/465258/audi-q5-.html
448015,TOYOTA  Hilux,Appeler pour le prix,,2018,Casablanca,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/448015/toyota-hilux-.html
448016,MERCEDES-BENZ  Classe a,Appeler pour le prix,,2020,Casablanca,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/448016/mercedes-benz-classe-a-.html
